player_name,position,expected_draft_ovr,adp,college,draft_class,height,weight,age_at_draft,forty,college_rec_ypg,college_rush_ypg,college_mkt_share_proxy,college_td_rate,college_completion_pct_proxy,production_source
Fernando Mendoza,QB,1,1.0,Indiana,Junior,77,236,22,4.85,,,,,0.90,nfl_draft_buzz_short_passing
Jeremiyah Love,RB,3,3.0,Notre Dame,Junior,72,212,21,4.36,,91.3,0.913,,,nfl_draft_buzz_rushing_rating
Carnell Tate,WR,9,9.0,Ohio State,Junior,74,192,21,4.53,88.4,,0.884,,,nfl_draft_buzz_wr_rating
Kenyon Sadiq,TE,10,10.0,Oregon,Junior,75,241,21,4.39,87.6,,0.876,,,nfl_draft_buzz_te_rating
Makai Lemon,WR,12,12.0,USC,Junior,71,192,21,4.50,88.6,,0.886,,,nfl_draft_buzz_wr_rating
Jordyn Tyson,WR,15,15.0,Arizona State,Junior,74,203,22,4.50,88.7,,0.887,,,nfl_draft_buzz_wr_rating
Ty Simpson,QB,19,19.0,Alabama,Junior,73,211,22,4.80,,,,,0.77,nfl_draft_buzz_short_passing
Denzel Boston,WR,22,22.0,Washington,Junior,76,212,22,4.52,87.5,,0.875,,,nfl_draft_buzz_wr_rating
Omar Cooper Jr.,WR,31,31.0,Indiana,Junior,72,199,22,4.42,85.0,,0.850,,,nfl_draft_buzz_wr_rating
Kevin Concepcion,WR,34,34.0,Texas A&M,Junior,72,196,21,4.46,86.9,,0.869,,,nfl_draft_buzz_wr_rating
Eli Stowers,TE,42,42.0,Vanderbilt,Senior,76,239,24,4.51,85.1,,0.851,,,nfl_draft_buzz_te_rating
Jadarian Price,RB,48,48.0,Notre Dame,Junior,71,203,22,4.49,,84.8,0.848,,,nfl_draft_buzz_rushing_rating
Zachariah Branch,WR,49,49.0,Georgia,Junior,69,177,21,4.35,84.9,,0.849,,,nfl_draft_buzz_wr_rating
Chris Bell,WR,51,51.0,Louisville,Senior,74,222,23,4.44,85.8,,0.858,,,nfl_draft_buzz_wr_rating
Germie Bernard,WR,55,55.0,Alabama,Senior,73,206,23,4.48,84.9,,0.849,,,nfl_draft_buzz_wr_rating
