player_name,position,college_games,college_targets,college_receptions,college_receiving_yards,college_receiving_tds,college_routes_run,college_yprr,college_ypt,college_carries,college_rushing_yards,college_rushing_tds,college_pass_attempts,college_completions,college_passing_yards,college_passing_tds,college_interceptions,college_qb_rush_yards,college_qb_rush_tds,college_scramble_rate,vertical,bench,cone,shuttle,production_source
Fernando Mendoza,QB,16,,,,,,,,,,,379,273,3535,41,6,276,7,0.074405,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Jeremiyah Love,RB,12,34,27,280,3,153,1.830065,8.235294,199,1372,18,,,,,,,,,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Carnell Tate,WR,11,67,51,875,9,225,3.524444,14.962264,2,16,0,,,,,,,,,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Kenyon Sadiq,TE,14,71,51,560,8,271,1.878229,9.425926,3,6,0,,,,,,,,,43.5,26,,,espn_2025_stats|nfldraftbuzz_combine|statmuse_2025|pff_2025_player_page
Makai Lemon,WR,12,106,79,1156,11,369,3.132791,10.703704,9,4,2,,,,,,,,,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Jordyn Tyson,WR,9,100,61,711,8,300,2.37,7.329897,2,4,1,,,,,,,,,,26,,,nfldraftbuzz_stats_2025|statmuse_2025|pff_2025_player_page
Ty Simpson,QB,15,,,,,,,,,,,473,305,3567,28,5,93,2,0.060543,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Denzel Boston,WR,11,99,62,881,11,333,2.267267,8.77907,0,0,0,,,,,,,,,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Omar Cooper Jr.,WR,16,91,69,937,13,300,2.68,10.72,3,74,1,,,,,,,,,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Kevin Concepcion,WR,8,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,espn_2025_stats|statmuse_2025
Eli Stowers,TE,12,86,62,769,4,301,2.554817,9.047059,2,2,0,,,,,,,,,,,,,nfldraftbuzz_stats_2025|statmuse_2025|pff_2025_player_page
Jadarian Price,RB,12,7,6,87,2,71,1.225352,12.428571,113,674,11,,,,,,,,,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Zachariah Branch,WR,14,101,81,811,6,270,2.559259,8.858974,4,7,0,,,,,,,,,38,20,,,espn_2025_stats|nfldraftbuzz_combine|statmuse_2025|pff_2025_player_page
Chris Bell,WR,11,110,72,917,6,360,2.547222,8.650943,0,0,0,,,,,,,,,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Germie Bernard,WR,14,110,64,862,7,428,1.728972,8.604651,18,101,2,,,,,,,,,32.5,,6.71,4.31,espn_2025_stats|nfldraftbuzz_combine|statmuse_2025|pff_2025_player_page
Chris Brazzell II,WR,12,96,62,1017,9,392,2.566327,11.697674,0,0,0,,,,,,,,,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Elijah Sarratt,WR,14,92,65,830,15,243,2.650206,9.907692,0,0,0,,,,,,,,,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Mike Washington Jr.,RB,12,43,28,226,1,229,0.9869,6.277778,168,1068,8,,,,,,,,,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Malachi Fields,WR,12,65,36,630,5,286,2.202797,10.16129,0,0,0,,,,,,,,,,,,,senior_bowl_profile_2025|statmuse_2025|pff_2025_player_page
Max Klare,TE,14,55,43,448,2,245,1.714286,7.924528,0,0,0,,,,,,,,,,,,,news_profile_2025|statmuse_2025|pff_2025_player_page
Antonio Williams,WR,10,74,55,604,4,269,2.271375,8.486111,13,78,1,,,,,,,,,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Drew Allar,QB,6,,,,,,,,,,,159,103,1100,8,3,172,1,0.107527,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Deion Burks,WR,13,87,57,620,4,426,1.448357,7.174419,6,-1,0,,,,,,,,,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Garrett Nussmeier,QB,9,,,,,,,,,,,288,194,1927,12,5,-57,1,0.022581,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Carson Beck,QB,16,,,,,,,,,,,467,338,3813,30,12,43,2,0.053528,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Ja'Kobi Lane,WR,11,76,49,745,4,310,2.419355,10.135135,0,0,0,,,,,,,,,,,,,espn_2025_stats|statmuse_2025|pff_2025_player_page
Bryce Lance,WR,,,51,1079,8,301,3.584718,15.637681,4,92,1,,,,,,,,,,,,,espn_2025_stats|pff_2025_player_page
Jonah Coleman,RB,12,37,31,354,2,192,1.791667,10.424242,156,758,15,,,,,,,,,,22,,,nfldraftbuzz_stats_2025|nfldraftbuzz_combine|statmuse_2025|pff_2025_player_page
Emmett Johnson,RB,12,60,46,370,3,,,,251,1451,12,,,,,,,,,,,,,espn_2025_stats|statmuse_2025
Michael Trigg,TE,11,88,50,694,6,,,,0,0,0,,,,,,,,,,,,,statmuse_2025
